gene	t00	t05	t1_	t2_	t3_	t4_	t5_	t6_	t7_	t8_	t10	t12
ENSG00000053372.4	0.569394275	0.521617374	1.216268236	0.613096755	0.805060618	0.762436292	1.016680211	-0.243274733	-0.851377886	-1.446960992	-1.386052855	-1.576887296
ENSG00000158747.12	-1.647525805	-1.632394812	-1.024727631	-0.608228426	0.068724932	0.052593786	0.396997256	0.437955822	0.56013836	0.460306871	1.405302916	1.530856732
ENSG00000183114.7	2.00556696	1.350969954	-0.124991525	-0.164798306	-1.18806963	-0.604647794	-1.734726877	-0.916544159	0.35784099	0.40014648	0.268057889	0.351196019
ENSG00000158828.5	1.235186653	0.784412919	0.526879249	0.818963207	-0.169975185	-0.624472663	-2.011350384	-1.747914552	-0.39404424	0.437139384	0.131544036	1.013631576
ENSG00000117245.11	-1.968286328	-1.585425109	-0.757390433	-0.059019205	0.188431836	-0.103707	-0.439974288	0.600178061	0.716317192	1.021921039	1.313667915	1.073286319
ENSG00000127483.16	-1.920785966	-0.721847448	1.019798254	-0.289370958	1.149483375	0.205014868	1.962563843	0.479415303	-0.437322075	-0.92188032	-0.407434278	-0.117634598
ENSG00000076864.18	0.759899512	0.916790071	0.733996057	1.064291744	0.838082525	0.619882206	0.169883005	-0.419304697	-0.377423649	-0.54183633	-1.660313764	-2.103946678
ENSG00000133216.15	1.031997468	1.163208485	0.990857901	1.041202301	0.664745696	0.504572154	-0.029067071	-0.598266718	-0.718862132	-0.841657853	-1.395018253	-1.813711979
ENSG00000007968.6	0.904195807	0.843703223	0.644809827	0.768908373	0.722172034	0.622394054	0.359142641	0.199734002	-0.448926403	-0.718869094	-1.757362444	-2.139902019
ENSG00000117318.8	0.245791124	0.583357225	-1.227762336	-1.552744168	-1.044867146	-1.225189575	0.001980078	0.393640893	0.910836767	0.051839961	1.399610475	1.463506703
ENSG00000188529.13	-1.322034542	-0.973322383	-1.084046399	-1.43951815	-0.426746923	-0.419985664	0.764330246	0.882667733	1.26248641	0.544865346	1.103247687	1.108056642
ENSG00000142677.3	-2.207238347	-1.602567872	-0.425794116	1.206622686	1.264765758	0.980078427	0.492784196	0.062703335	-0.18317534	0.017243983	0.241930901	0.152646389
ENSG00000001460.16	0.401791912	0.102346237	-0.057641312	-0.849459726	-0.447632626	-1.003232624	-1.309048621	-1.176317038	0.434559332	0.421451853	1.313654748	2.169527864
ENSG00000001461.15	-0.205536684	0.242868305	-0.650999742	-0.788021475	-1.014500692	-0.455674549	-1.108096611	-1.194699528	0.872643191	1.461269408	1.297461522	1.543286855
ENSG00000184454.6	0.451124537	-0.690115152	0.216922802	0.168603316	1.122770007	0.938683473	0.40999239	-0.589271278	1.647796803	-0.507530989	-1.039673566	-2.129302343
ENSG00000117616.16	-2.006694402	-1.899359285	-0.408859787	0.973371484	1.143671937	0.615477255	-0.047321209	1.160760516	-0.207422184	0.17723841	0.161293313	0.337843953
ENSG00000127423.9	-0.450826672	-0.675696204	0.124472825	0.599367585	1.458660678	0.911469288	1.190358376	0.832392798	0.033594286	-0.886529622	-1.261318371	-1.875944966
ENSG00000182749.5	-1.08921468	-0.852095083	-1.49126346	-0.892978199	-0.496662955	-0.44048632	0.299908006	0.157282001	0.73220233	0.820197025	1.699609618	1.553501717
ENSG00000158006.12	0.25182313	0.182043477	-0.934416209	-1.036849555	-1.424304196	-0.797042406	-0.746241227	-0.472344444	1.060920581	0.94682712	1.28466376	1.684919969
ENSG00000158022.6	-0.959642878	-0.710306062	-0.58473698	0.984571528	2.019503098	1.718183839	0.46374644	-0.262582467	-0.49784987	-0.85420505	-0.42992488	-0.886756716
ENSG00000142684.7	1.291028125	0.119571222	-0.640788175	-0.068045672	-0.940419581	-0.913548294	-2.132027498	-0.229858662	1.12323205	0.352524837	1.267209898	0.77112175
ENSG00000142669.12	1.481715061	1.16556626	0.920324996	-0.335516489	-0.936788861	0.767988667	-1.537071454	-1.519344634	-0.667286473	0.60984277	-0.489288292	0.53985845
ENSG00000176092.12	1.957750233	1.570849863	1.348093434	-0.446810436	-0.25950808	-0.766918875	-0.885203258	-0.828824124	-0.992198666	0.288043983	-0.536203019	-0.449071055
ENSG00000204160.10	-2.091795032	-1.785967654	0.087968993	0.557708376	1.142293105	0.70752875	1.162148566	0.452270478	-0.325225062	-0.527777231	0.609021829	0.011824884
ENSG00000175707.8	-1.315365463	-1.106673115	-1.014601033	1.268562104	-0.231986858	1.764014826	-0.340939182	1.465259638	0.644978574	-0.157447173	-0.66218491	-0.313617409
ENSG00000090020.9	-1.685490142	-1.828506963	-0.572525198	0.103038087	0.790137003	0.898379157	1.507654188	1.08106681	0.32456232	0.078384828	0.005185482	-0.701885571
ENSG00000142784.14	0.014928981	0.548885602	-1.564880947	-0.821811001	-0.402919236	-0.342526321	-1.131422339	-1.09095535	1.05389762	1.189750634	1.4383945	1.108657856
ENSG00000142733.13	-1.952658607	-1.836986204	-1.227474835	0.418122188	0.678784894	0.494158477	0.807967253	0.833336344	0.482243054	0.586259048	0.708922873	0.007325515
ENSG00000181773.6	0.950913725	2.004594456	0.162271539	0.298699358	-0.901628327	-0.063907149	0.681291963	0.175503305	0.587216043	-1.705002853	-1.09107313	-1.098878929
ENSG00000126705.12	-0.911058968	-1.05337946	-0.587074645	0.823101014	1.960325092	1.689491864	0.737034441	-0.481180148	-0.452518228	-0.078399798	-0.81764185	-0.828699314
ENSG00000009780.14	-1.628175692	-1.215122171	-0.346809727	-0.013901917	1.807858745	1.364863666	0.951936009	-0.159274252	-0.189702841	-1.115885894	-0.088463536	0.632677612
ENSG00000117758.12	-0.698883147	-0.267371459	-0.590229733	-1.175889712	-0.901523365	-0.668148431	-0.556596111	-0.42738128	0.93673651	0.864764973	1.380925355	2.103596402
ENSG00000117748.8	0.893568818	1.242018256	0.839620457	0.17124544	0.857943284	0.745151789	0.651196479	-0.196318846	-0.785631466	-1.367940778	-1.406283957	-1.644569474
ENSG00000169403.10	1.968990276	1.264396239	0.612606216	0.740857275	-0.432321619	0.29673846	-1.394402447	-1.332394254	0.181084551	-0.262821793	-1.099289667	-0.543443237
ENSG00000180198.14	1.083502893	1.194694389	0.892667003	1.000309081	0.638139622	0.023680935	-0.311079355	-0.427159703	-0.579315881	-0.380621132	-0.695567596	-2.439250255
ENSG00000120656.10	0.577014907	1.070553676	0.084965242	0.057460592	-1.109098587	-0.555784147	-0.711396646	-2.401302671	1.063125738	0.822252145	0.928824561	0.17338519
ENSG00000060656.18	-1.616159116	-1.610683942	-1.269881564	-0.331304705	0.289770265	-0.087333681	0.704485152	0.171830046	1.44396002	0.668783585	1.357957803	0.278576136
ENSG00000142910.14	2.344591609	1.143979317	0.500450864	-0.38057804	0.40462742	0.646292324	-0.735478102	-0.404386362	-0.819361999	-0.583465676	-0.697017103	-1.419654251
ENSG00000121753.11	1.543384152	1.39425247	0.280149317	0.717314039	0.324526663	-0.003502676	0.034109653	-0.2629502	-0.074158574	-0.323972017	-1.490899286	-2.138253539
ENSG00000134668.11	1.906708701	1.399058103	0.245453893	0.163276801	0.575414222	-0.534814306	-0.691265971	-2.051719439	0.317151544	-0.238420295	-0.182610781	-0.908232472
ENSG00000160051.10	0.811162457	-0.950161578	1.104291282	1.104625334	1.081069837	0.135855887	0.813010485	0.094568132	-0.116783531	-1.362549498	-0.816055281	-1.899033527
ENSG00000175130.6	1.137686762	1.372352238	1.085608324	0.923372211	0.362568991	0.408656275	-0.013072312	-0.619998676	-0.6031981	-0.969326626	-1.388768415	-1.695880673
ENSG00000160058.17	-0.013632647	0.138798899	-0.538799188	0.163931633	-0.585753171	-0.569670873	-1.979763378	-1.226967202	0.981389729	1.20135676	0.887325867	1.541783572
ENSG00000162520.13	-0.633885314	-0.542532133	-1.447098334	-1.330485202	-0.974086495	-0.683528662	0.431952577	0.704526496	0.837235289	0.853866145	1.259560714	1.524474918
ENSG00000121900.17	1.340373803	1.221677678	1.122797315	0.737344285	-0.151021707	0.252016527	-1.656097242	-0.488540606	0.088446493	0.27176318	-1.427779347	-1.310980381
ENSG00000116514.15	1.493144664	1.410827737	0.969036967	0.775813667	0.389659336	0.422761521	-1.166077085	-0.437478548	-0.758985675	-0.413218782	-1.293961601	-1.391522199
ENSG00000142920.15	2.088570635	1.00984864	0.246164671	-0.410557151	0.056840912	0.457670471	-1.591372641	-1.240742606	0.25023958	-0.00044459	0.479725957	-1.345943878
ENSG00000092853.12	0.823542524	0.774158351	0.787215927	0.549266482	0.789138026	0.679267448	0.565032467	0.001892458	-0.426481232	-0.598316692	-1.775653417	-2.169062344
ENSG00000116871.14	-1.859260801	-1.544817779	-1.231164522	-0.221857824	0.121199907	-0.027902403	0.434577371	0.474482154	0.716425265	0.642416771	1.494440326	1.001461535
ENSG00000054118.12	-2.278495335	-1.415627583	-0.364611244	-0.323232944	0.247847286	-0.00153658	1.373880176	1.124642098	0.23772472	0.055116348	1.113806279	0.230486779
ENSG00000181817.5	0.859824141	0.88255734	0.823557768	-0.647952752	-0.613401236	-0.386743801	-2.656703543	-0.545575755	0.449931453	0.583416743	0.328290463	0.922799179
ENSG00000163874.8	-2.738921871	-1.073401857	0.110907355	1.027518915	0.919380074	0.594130993	0.475728383	0.842304368	0.054707352	-0.07952402	0.184419309	-0.317249002
ENSG00000163875.14	-2.053334388	-1.708351575	-0.810058056	-0.250883275	0.249275774	0.318176519	1.303282084	0.940950904	0.658053528	0.202831856	0.937945991	0.212110638
ENSG00000163877.9	-1.239578232	-1.039599136	-0.108516332	-0.412808331	1.135081428	0.48265561	1.658384087	1.686361208	0.077600384	-1.059732455	-0.229369599	-0.950478634
ENSG00000134690.9	0.340913434	0.744948405	0.859949556	0.886471691	0.833806443	0.482354162	0.755168885	-0.197748343	-0.617108125	-0.622297212	-0.870108212	-2.596350684
ENSG00000185090.13	0.896558806	1.426977405	-0.107287029	-0.953152932	0.792939262	-0.986663411	-0.280352736	0.564863932	1.210495269	0.21702223	-0.735151827	-2.046248969
ENSG00000196449.3	1.49335217	1.833045984	0.353681996	-0.56065118	-0.591899448	-0.066355904	-1.706436562	-1.141755533	0.054903143	0.878470759	-0.761114268	0.214758843
ENSG00000188786.9	-1.153379174	-1.588448996	0.126459513	-1.160775585	0.660634841	1.075075692	1.991780557	0.352634559	0.54615733	-0.893903616	0.045099457	-0.001334578
ENSG00000183520.10	0.896493422	1.554328332	0.42221658	1.213411834	0.677757737	0.270935992	-1.935316343	-0.027128496	-0.775272592	-0.281723267	-0.744379196	-1.271324003
ENSG00000127603.22	1.87424118	1.973211451	1.02993717	-0.790247332	-0.545309288	-0.57228764	-0.738534759	-1.03763216	-0.275383787	-0.118417419	-0.754672321	-0.044905095
ENSG00000116985.9	-0.683239622	-0.922419405	-0.518135568	0.154421534	0.633501673	0.823103582	1.295858732	0.641875822	0.267999712	1.064281531	-0.326433417	-2.430814572
ENSG00000116990.10	-1.06962353	-0.451331574	0.304849495	1.050506435	1.836215903	1.682742007	-0.299077923	-0.599917008	0.158530258	-0.512265939	-0.657132608	-1.443495516
ENSG00000168389.16	-1.41749715	-1.282207199	-0.699385793	0.842639678	1.425971369	1.444202238	1.072735865	0.521284187	-0.104369461	-0.240754443	-0.383751274	-1.178868017
ENSG00000117016.8	-0.844887816	0.120623501	-1.613951771	-0.792154336	-0.412188659	-0.553061184	-0.742632363	-0.091809478	1.990800785	0.693665322	1.260180185	0.985415814
ENSG00000010803.15	-1.812578152	-1.129487761	-1.022573275	-0.91577485	-0.442322035	-0.062095647	0.27621393	1.064989995	0.947876614	1.044498101	1.185704225	0.865548854
