gene	t00	t05	t1_	t2_	t3_	t4_	t5_	t6_	t7_	t8_	t10	t12
ENSG00000117318.8	1.399610475	0.245791124	1.463506703	-1.552744168	-1.044867146	-1.227762336	-1.225189575	0.393640893	0.051839961	0.001980078	0.910836767	0.583357225
ENSG00000188529.13	1.108056642	-1.322034542	-0.426746923	0.544865346	-0.419985664	1.26248641	0.764330246	-0.973322383	-1.084046399	0.882667733	1.103247687	-1.43951815
ENSG00000142677.3	0.152646389	-2.207238347	-1.602567872	1.206622686	0.241930901	1.264765758	0.492784196	0.980078427	0.017243983	-0.425794116	0.062703335	-0.18317534
ENSG00000001460.16	-1.003232624	-0.447632626	0.401791912	1.313654748	0.434559332	2.169527864	0.102346237	0.421451853	-1.309048621	-0.849459726	-0.057641312	-1.176317038
ENSG00000001461.15	1.461269409	0.872643191	-0.455674549	-1.108096611	-0.205536684	-0.650999742	-1.194699528	-1.014500692	1.297461522	0.242868305	-0.788021475	1.543286855
ENSG00000184454.6	-0.507530989	0.216922802	-0.690115152	0.40999239	-2.129302343	0.451124537	1.647796803	1.122770007	0.938683473	-0.589271278	0.168603316	-1.039673566
ENSG00000117616.16	0.615477255	1.143671937	0.337843953	-0.207422184	-0.047321209	0.17723841	-1.899359285	-0.408859787	-2.006694402	1.160760516	0.973371484	0.161293313
ENSG00000127423.9	0.832392798	-0.450826672	0.124472825	1.458660678	1.190358376	0.033594286	-0.886529622	0.599367585	-0.675696204	-1.261318371	0.911469288	-1.875944966
ENSG00000182749.5	-0.496662955	0.157282001	-0.44048632	-1.49126346	0.299908006	-0.892978199	-1.08921468	1.553501717	0.73220233	-0.852095083	1.699609618	0.820197025
ENSG00000158006.12	1.060920581	1.684919969	-0.472344444	-0.797042406	0.94682712	0.25182313	-0.934416209	-0.746241227	-1.036849555	0.182043477	-1.424304196	1.28466376
ENSG00000158022.6	1.718183839	0.984571528	-0.710306062	-0.49784987	-0.886756716	-0.262582467	-0.42992488	0.46374644	-0.959642878	2.019503098	-0.58473698	-0.85420505
ENSG00000142684.7	1.12323205	-0.068045672	-0.229858662	-0.940419581	0.352524837	-2.132027498	-0.913548294	0.77112175	1.267209898	0.119571222	1.291028125	-0.640788175
ENSG00000142669.12	0.60984277	1.16556626	-1.537071454	1.481715061	-0.667286473	0.53985845	0.767988667	-0.489288292	-1.519344634	-0.936788861	0.920324996	-0.335516489
ENSG00000176092.12	1.348093434	0.288043983	-0.766918875	-0.449071055	1.957750233	-0.25950808	-0.885203258	-0.992198666	-0.828824124	-0.536203019	-0.446810436	1.570849863
ENSG00000204160.10	0.011824884	0.609021829	1.162148566	-1.785967654	1.142293105	-2.091795032	-0.325225062	0.70752875	-0.527777231	0.087968993	0.557708376	0.452270478
ENSG00000175707.8	0.644978574	-1.315365463	-0.340939182	1.764014826	-0.66218491	-0.157447173	1.465259638	-1.014601033	-0.313617409	-1.106673115	1.268562104	-0.231986858
ENSG00000090020.9	0.103038087	-1.828506963	0.790137003	-0.572525198	0.078384828	1.507654188	-0.701885571	0.005185482	-1.685490142	0.898379157	0.32456232	1.08106681
ENSG00000142784.14	-0.402919236	1.108657856	-1.564880947	-0.821811001	1.05389762	0.014928981	1.4383945	-1.09095535	1.189750634	-1.131422339	-0.342526321	0.548885602
ENSG00000142733.13	0.586259048	0.678784894	0.494158477	-1.836986204	0.482243054	0.418122188	0.708922873	0.007325515	-1.952658607	0.807967253	0.833336344	-1.227474835
ENSG00000181773.6	-1.705002853	-1.09107313	0.950913725	-0.063907149	0.298699358	2.004594456	0.162271539	0.175503305	-1.098878929	-0.901628327	0.587216043	0.681291963
ENSG00000126705.12	-0.481180148	0.823101015	0.737034441	-0.452518228	-0.828699314	1.960325092	-0.81764185	1.689491864	-1.05337946	-0.587074646	-0.911058968	-0.078399798
ENSG00000009780.14	-0.159274252	-0.346809727	-1.115885894	-0.189702841	0.951936009	-1.215122171	-0.088463536	1.807858745	-1.628175692	1.364863666	0.632677612	-0.013901917
ENSG00000117758.12	0.864764973	2.103596402	-1.175889712	0.93673651	-0.901523365	-0.590229733	-0.698883147	-0.556596111	1.380925355	-0.668148431	-0.42738128	-0.267371459
ENSG00000117748.8	0.745151789	-1.406283957	0.857943284	0.17124544	-0.785631466	1.242018256	0.893568818	0.651196479	-1.367940778	0.839620457	-1.644569474	-0.196318846
ENSG00000169403.10	-0.262821793	0.29673846	1.968990276	-1.332394254	-1.099289667	-1.394402447	0.181084551	-0.543443237	0.740857275	-0.432321619	0.612606216	1.264396239
ENSG00000180198.14	1.000309081	1.194694389	-0.311079355	-0.427159703	1.083502893	0.023680935	-0.695567596	0.892667003	-0.380621132	-0.579315881	0.638139622	-2.439250255
ENSG00000120656.10	0.577014907	0.084965242	0.822252145	-1.109098587	0.17338519	-0.555784147	1.063125738	0.928824561	0.057460592	-0.711396646	-2.401302671	1.070553676
ENSG00000060656.18	0.278576136	0.289770266	-0.331304705	-1.610683942	0.668783585	-0.087333681	1.44396002	1.357957803	0.171830047	-1.616159116	0.704485152	-1.269881564
ENSG00000142910.14	-0.583465676	1.143979317	-1.419654251	0.646292324	0.40462742	-0.735478102	-0.697017103	-0.38057804	-0.404386362	2.344591609	-0.819361999	0.500450864
ENSG00000121753.11	0.717314039	-0.323972017	0.324526663	0.034109653	-0.2629502	-1.490899286	0.280149317	-0.003502676	1.543384152	1.39425247	-2.138253539	-0.074158574
ENSG00000134668.11	-0.534814306	-0.238420295	-0.908232472	-0.182610781	-0.691265971	-2.051719439	0.317151544	1.906708701	0.163276801	0.575414222	0.245453893	1.399058103
ENSG00000160051.10	0.811162457	-0.116783531	-0.950161578	0.094568132	-0.816055281	0.813010485	1.104625334	1.104291282	1.081069837	-1.899033527	-1.362549498	0.135855887
ENSG00000175130.6	1.137686762	-0.6031981	-0.619998676	-0.969326626	1.085608324	0.408656275	0.923372211	1.372352238	-1.695880673	-1.388768415	-0.013072312	0.362568991
ENSG00000160058.17	-0.538799188	0.981389729	0.163931633	-1.979763378	-0.013632647	-1.226967202	-0.569670873	0.138798899	1.541783572	1.20135676	0.887325867	-0.585753171
ENSG00000162520.13	-0.633885314	-0.542532133	-1.447098334	0.853866145	0.431952577	0.704526496	-0.974086495	-0.683528662	1.524474918	-1.330485202	0.837235289	1.259560714
ENSG00000121900.17	1.221677678	0.252016527	-1.656097242	-1.310980381	0.088446493	0.27176318	0.737344285	1.340373803	-1.427779347	-0.151021707	1.122797315	-0.488540606
ENSG00000116514.15	-0.758985675	0.775813667	0.389659336	-1.293961601	1.410827737	0.422761521	0.969036967	-1.166077085	-0.437478548	-0.413218782	1.493144664	-1.391522199
ENSG00000142920.15	0.246164671	2.088570635	0.479725957	-1.345943878	-1.591372641	-1.240742606	0.25023958	-0.410557151	0.457670471	1.00984864	-0.00044459	0.056840912
ENSG00000092853.12	0.001892458	-0.426481232	0.565032467	0.787215927	0.549266482	-1.775653417	0.774158351	0.789138026	0.679267448	-2.169062344	-0.598316692	0.823542524
ENSG00000116871.14	0.434577371	1.494440326	-1.231164522	0.474482154	1.001461535	0.716425265	0.121199907	-0.027902403	-1.859260801	-0.221857824	-1.544817779	0.642416771
ENSG00000054118.12	-1.415627583	-0.364611244	1.113806279	0.23772472	-0.00153658	-0.323232944	1.124642098	1.373880176	0.230486779	-2.278495335	0.055116348	0.247847286
ENSG00000181817.5	0.823557768	0.449931453	-0.545575755	0.859824141	0.922799179	-0.613401236	-2.656703543	0.88255734	0.328290463	-0.647952752	-0.386743801	0.583416743
ENSG00000163874.8	0.184419309	-0.317249002	0.594130993	0.475728383	0.110907355	0.054707352	-0.07952402	0.842304368	-1.073401857	-2.738921871	0.919380074	1.027518915
ENSG00000163875.14	0.249275774	0.212110638	-2.053334388	0.937945991	0.658053528	1.303282084	-1.708351575	0.318176519	0.202831856	-0.250883275	-0.810058056	0.940950904
ENSG00000163877.9	1.658384087	-1.039599136	-0.229369599	1.686361209	0.077600384	-0.108516332	1.135081428	-1.059732455	-1.239578232	-0.412808331	0.48265561	-0.950478634
ENSG00000134690.9	0.744948405	0.833806443	0.340913434	-0.617108125	0.859949556	-2.596350684	0.482354162	0.886471691	-0.870108212	-0.197748343	0.755168885	-0.622297212
ENSG00000185090.13	0.792939262	-0.280352736	0.564863932	1.210495269	-0.986663411	0.896558805	-0.735151827	0.21702223	-0.953152932	-0.107287029	1.426977405	-2.046248969
ENSG00000196449.3	-0.591899448	0.353681996	1.833045984	-0.066355904	-1.141755533	0.214758843	-0.56065118	1.49335217	-0.761114268	0.054903143	-1.706436562	0.878470759
ENSG00000188786.9	0.66063484	-1.588448996	-0.001334578	-0.893903616	0.045099457	0.54615733	1.991780557	1.075075692	-1.153379174	0.352634559	0.126459513	-1.160775585
ENSG00000183520.10	-0.744379196	-1.935316343	0.270935992	-0.281723267	1.213411834	-0.027128496	-1.271324003	0.42221658	0.677757737	1.554328332	0.896493422	-0.775272592
ENSG00000127603.22	1.02993717	-0.790247332	-0.545309288	-0.738534759	-0.57228764	-0.754672321	-0.118417419	-0.044905095	-0.275383787	1.87424118	1.973211451	-1.03763216
ENSG00000116985.9	1.064281531	-0.922419405	0.633501673	-2.430814572	0.154421534	-0.518135568	-0.683239622	0.267999712	0.823103582	0.641875822	1.295858732	-0.326433417
ENSG00000116990.10	1.836215903	-0.599917008	0.304849495	1.682742007	0.158530258	-1.443495516	-1.06962353	-0.512265939	1.050506435	-0.299077923	-0.657132608	-0.451331574
ENSG00000168389.16	-1.41749715	-0.383751274	0.521284187	1.072735865	-1.178868017	0.842639678	1.425971369	1.444202238	-0.240754443	-1.282207199	-0.104369461	-0.699385793
ENSG00000117016.8	-0.412188659	-0.792154336	-0.844887816	0.120623501	-0.553061185	-0.091809478	-1.61395177	-0.742632363	1.990800785	1.260180185	0.693665322	0.985415814
ENSG00000010803.15	0.947876614	1.064989995	0.27621393	1.044498101	-0.062095647	-0.442322035	-0.91577485	1.185704225	-1.129487761	0.865548854	-1.812578152	-1.022573275
